Geo Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;cod_ligf;ligne_code;indice_lig;reseau;res_com;exploitant;num_psr;idf;principal;x;y;picto ligne
48.9637554296,2.3721031384;"{""type"": ""Point"", ""coordinates"": [2.372103138402568, 48.96375542962027]}";643;PIERREFITTE-STAINS;Pierrefitte Stains;;;72787;Pierrefitte - Stains;43179;Pierrefitte - Stains;2603;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-415;D;RER;RER D;SNCF;271163;1;0;654024.0938;6873938.8178;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54
48.9319502424,2.4962382812;"{""type"": ""Point"", ""coordinates"": [2.496238281204934, 48.93195024240254]}";36;AULNAY-SOUS-BOIS;Aulnay-sous-Bois;;;72646;Aulnay-sous-Bois;43071;Aulnay-sous-Bois;3011;Tramway;0;0;0;0;1;0;0;0;0;0;0;T4;0;0;A01761;C01843;T4;34.0;T4-405;4;TRAMWAY;TRAM 4;SNCF;271411;1;0;663090.8228;6870336.883;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/7906e64f9ef97531ad26719b8713713e
48.8833348766,2.23387143379;"{""type"": ""Point"", ""coordinates"": [2.233871433790775, 48.883334876553704]}";713;PUTEAUX;Puteaux;;;71422;Puteaux;43184;Puteaux;3551;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01192;C01390;T2;32.0;T2-379;2;TRAMWAY;TRAM 2;RATP;382382;1;0;643816.0049;6865085.6726;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886
48.7803137964,2.31230771689;"{""type"": ""Point"", ""coordinates"": [2.312307716888593, 48.780313796396975]}";102;BOURG-LA-REINE;Bourg-la-Reine;;;70033;Bourg-la-Reine;43097;Bourg-la-Reine;2467;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01857;C01743;RER B;25.0;RER B-298;B;RER;RER B;RATP;758698;1;0;649468.2085;6853577.9767;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1
48.4344906129,2.37667281716;"{""type"": ""Point"", ""coordinates"": [2.376672817155075, 48.43449061285579]}";106;BOUTIGNY-SUR-ESSONNE;Boutigny;;;59565;Boutigny;47895;Boutigny;2888;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-214;D;RER;RER D;SNCF;681478;1;0;653894.1826;6815094.2882;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54
48.9323054161,2.47567437083;"{""type"": ""Point"", ""coordinates"": [2.475674370833512, 48.93230541606911]}";77;BLANC-MESNIL;Le Blanc-Mesnil;;;72648;Le Blanc-Mesnil;46163;Le Blanc-Mesnil;2483;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01857;C01743;RER B;25.0;RER B-404;B;RER;RER B;SNCF;271478;1;0;661584.448;6870386.1867;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1
48.894012515,2.47979332996;"{""type"": ""Point"", ""coordinates"": [2.479793329961401, 48.89401251501927]}";89;BONDY;Bondy;;;72037;Bondy;43096;Bondy;2937;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01843;C01729;RER E;28.0;RER E-361;E;RER;RER E;SNCF;113407;1;0;661858.1728;6866126.0843;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/528f29b53fa23aaf2d4c4f0b14c0bf87
49.0918829954,3.06269040835;"{""type"": ""Point"", ""coordinates"": [3.062690408354957, 49.09188299537501]}";229;CROUY-SUR-OURCQ;Crouy-sur-Ourcq;;;69435;Crouy-sur-Ourcq;47491;Crouy-sur-Ourcq;2995;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01844;C01730;LIGNE P;18.0;LIGNE P-434;P;TRAIN;TRAIN P;SNCF;116640;1;1;704579.0562;6888007.251;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/3216a7aca01ab7c67110982329e4a82e
48.7255353058,2.41956502438;"{""type"": ""Point"", ""coordinates"": [2.41956502437794, 48.72553530576058]}";3;ABLON;Ablon;;;69554;Ablon;46387;Ablon;2550;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;C01727;RER C;26.0;RER C-425;C;RER;RER C;SNCF;545269;1;0;657304.576;6847424.3179;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c
48.9706650483,2.07773176593;"{""type"": ""Point"", ""coordinates"": [2.077731765931403, 48.9706650483331]}";7;ACHERES-VILLE;Achères-Ville;;;73604;Achères Ville;46647;Achères Ville;2698;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A02176;C01740;LIGNE L;30.0;LIGNE L-127;L;TRAIN;TRAIN L;SNCF;381657;1;0;632479.4116;6874918.7325;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270
48.3112962757,2.00352500008;"{""type"": ""Point"", ""coordinates"": [2.003525000080969, 48.31129627565133]}";18;ANGERVILLE;Angerville;;;59403;Angerville;47917;Angerville;2817;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;GRD LIGNES;37.0;GRD LIGNES-194;GL;GRANDES LIGNES;GL;SNCF;543090;1;0;626121.8463;6801685.3314;
48.9321960051,2.49551314123;"{""type"": ""Point"", ""coordinates"": [2.495513141228173, 48.93219600505699]}";37;AULNAY-SOUS-BOIS;Aulnay-sous-Bois;;;72646;Aulnay-sous-Bois;43071;Aulnay-sous-Bois;2484;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01857;C01743;RER B;25.0;RER B-405;B;RER;RER B;SNCF;271411;1;1;663037.8692;6870364.5511;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1
48.8189478009,2.22980800373;"{""type"": ""Point"", ""coordinates"": [2.229808003729513, 48.818947800937735]}";62;BELLEVUE;Bellevue;;;69528;Bellevue;43088;Bellevue;2754;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01847;C01736;LIGNE N;22.0;LIGNE N-289;N;TRAIN;TRAIN N;SNCF;393116;1;0;643448.1911;6857929.4251;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/6c2116392b125e3a2f6d9d754db243a8
49.0984002625,2.36127055524;"{""type"": ""Point"", ""coordinates"": [2.361270555241056, 49.09840026247685]}";63;BELLOY-SAINT-MARTIN;Belloy-Saint-Martin;;;67126;Belloy - Saint-Martin;47524;Belloy - Saint-Martin;3061;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01849;C01737;LIGNE H;20.0;LIGNE H-264;H;TRAIN;TRAIN H;SNCF;276550;1;0;653352.0527;6888918.9524;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/3544694520ec675b39cbddf7993a4b79
48.8599987304,1.8755955903;"{""type"": ""Point"", ""coordinates"": [1.875595590302067, 48.85999873043873]}";69;BEYNES;Beynes;;;64338;Beynes;46857;Beynes;2779;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01847;C01736;LIGNE N;22.0;LIGNE N-91;N;TRAIN;TRAIN N;SNCF;393363;1;0;617506.4097;6862805.5644;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/6c2116392b125e3a2f6d9d754db243a8
49.0325740896,2.69945308646;"{""type"": ""Point"", ""coordinates"": [2.69945308646072, 49.032574089566886]}";230;DAMMARTIN-JUILLY-SAINT-MARD;Dammartin-Juilly-Saint-Mard;;;69254;Gare de Dammartin Juilly Saint Mard;46736;Dammartin - Juilly - Saint-Mard;3098;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A02175;C01738;LIGNE K;36.0;LIGNE K-37;K;TRAIN;TRAIN K;SNCF;271536;1;1;678022.2848;6881451.1385;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/cf0e0e961ab19271dd0a5e79cece251d
48.9633441128,1.80909450877;"{""type"": ""Point"", ""coordinates"": [1.809094508773783, 48.96334411275807]}";261;EPONE-MEZIERES;Épône-Mézières;;;65326;Épône - Mézières;47882;Épône - Mézières;2783;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01847;C01736;LIGNE N;22.0;LIGNE N-130;N;TRAIN;TRAIN N;SNCF;386763;1;0;612801.1351;6874367.855;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/6c2116392b125e3a2f6d9d754db243a8
48.5775084894,2.19206306877;"{""type"": ""Point"", ""coordinates"": [2.192063068770897, 48.57750848943182]}";109;BREUILLET-BRUYERES-LE-CHATEL;Breuillet;Bruyères-Le-Châtel;;60028;Breuillet - Bruyères-le-Châtel;47925;Breuillet - Bruyères-le-Châtel;2568;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;C01727;RER C;26.0;RER C-198;C;RER;RER C;SNCF;545483;1;0;640402.1892;6831115.3788;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c
